date,lineage,count
31/07/2021,BA.2,0
31/07/2021,BA.4,0
31/07/2021,BA.5,0
31/07/2021,BA.1,0
31/07/2021,BA.2.75,0
31/07/2021,XBB,0
31/07/2021,BA.5.3,0
07/08/2021,A,0
07/08/2021,B,2
07/08/2021,B.1.1.7,1
07/08/2021,B.1.617.2,23937
07/08/2021,B.1.1.529,0
07/08/2021,BA.2,0
07/08/2021,BA.4,0
07/08/2021,BA.5,0
07/08/2021,BA.1,0
07/08/2021,BA.2.75,0
07/08/2021,XBB,0
07/08/2021,BA.5.3,0
14/08/2021,A,0
14/08/2021,B,3
14/08/2021,B.1.1.7,2
14/08/2021,B.1.617.2,23290
14/08/2021,B.1.1.529,0
14/08/2021,BA.2,0
14/08/2021,BA.4,0
14/08/2021,BA.5,0
14/08/2021,BA.1,0
14/08/2021,BA.2.75,0
14/08/2021,XBB,0
14/08/2021,BA.5.3,0
21/08/2021,A,0
21/08/2021,B,1
21/08/2021,B.1.1.7,0
21/08/2021,B.1.617.2,25738
21/08/2021,B.1.1.529,0
21/08/2021,BA.2,0
21/08/2021,BA.4,0
21/08/2021,BA.5,0
21/08/2021,BA.1,0
21/08/2021,BA.2.75,0
21/08/2021,XBB,0
21/08/2021,BA.5.3,0
28/08/2021,A,0
28/08/2021,B,1
28/08/2021,B.1.1.7,0
28/08/2021,B.1.617.2,25340
28/08/2021,B.1.1.529,0
28/08/2021,BA.2,0
28/08/2021,BA.4,0
28/08/2021,BA.5,0
28/08/2021,BA.1,1
28/08/2021,BA.2.75,0
28/08/2021,XBB,0
28/08/2021,BA.5.3,0
04/09/2021,A,0
04/09/2021,B,1
04/09/2021,B.1.1.7,1
04/09/2021,B.1.617.2,25455
04/09/2021,B.1.1.529,0
04/09/2021,BA.2,0
04/09/2021,BA.4,0
04/09/2021,BA.5,0
04/09/2021,BA.1,0
04/09/2021,BA.2.75,0
04/09/2021,XBB,0
04/09/2021,BA.5.3,0
11/09/2021,A,0
11/09/2021,B,0
11/09/2021,B.1.1.7,0
11/09/2021,B.1.617.2,22578
11/09/2021,B.1.1.529,0
11/09/2021,BA.2,0
11/09/2021,BA.4,0
11/09/2021,BA.5,0
11/09/2021,BA.1,0
11/09/2021,BA.2.75,0
11/09/2021,XBB,0
11/09/2021,BA.5.3,0
18/09/2021,A,0
18/09/2021,B,0
18/09/2021,B.1.1.7,0
18/09/2021,B.1.617.2,25462
18/09/2021,B.1.1.529,0
18/09/2021,BA.2,0
18/09/2021,BA.4,0
18/09/2021,BA.5,0
18/09/2021,BA.1,1
18/09/2021,BA.2.75,0
18/09/2021,XBB,0
18/09/2021,BA.5.3,0
25/09/2021,A,0
25/09/2021,B,0
25/09/2021,B.1.1.7,0
25/09/2021,B.1.617.2,24687
25/09/2021,B.1.1.529,0
25/09/2021,BA.2,0
25/09/2021,BA.4,0
25/09/2021,BA.5,0
25/09/2021,BA.1,0
25/09/2021,BA.2.75,0
25/09/2021,XBB,0
25/09/2021,BA.5.3,0
02/10/2021,A,0
02/10/2021,B,0
02/10/2021,B.1.1.7,0
02/10/2021,B.1.617.2,27296
02/10/2021,B.1.1.529,0
02/10/2021,BA.2,0
02/10/2021,BA.4,0
02/10/2021,BA.5,0
02/10/2021,BA.1,0
02/10/2021,BA.2.75,0
02/10/2021,XBB,0
02/10/2021,BA.5.3,0
09/10/2021,A,0
09/10/2021,B,0
09/10/2021,B.1.1.7,0
09/10/2021,B.1.617.2,27696
09/10/2021,B.1.1.529,0
09/10/2021,BA.2,0
09/10/2021,BA.4,0
09/10/2021,BA.5,0
09/10/2021,BA.1,0
09/10/2021,BA.2.75,0
09/10/2021,XBB,0
09/10/2021,BA.5.3,0
16/10/2021,A,0
16/10/2021,B,0
16/10/2021,B.1.1.7,0
16/10/2021,B.1.617.2,22550
16/10/2021,B.1.1.529,0
16/10/2021,BA.2,0
16/10/2021,BA.4,0
16/10/2021,BA.5,0
16/10/2021,BA.1,0
16/10/2021,BA.2.75,0
16/10/2021,XBB,0
16/10/2021,BA.5.3,0
23/10/2021,A,0
23/10/2021,B,0
23/10/2021,B.1.1.7,0
23/10/2021,B.1.617.2,27570
23/10/2021,B.1.1.529,0
23/10/2021,BA.2,0
23/10/2021,BA.4,0
23/10/2021,BA.5,0
23/10/2021,BA.1,1
23/10/2021,BA.2.75,0
23/10/2021,XBB,0
23/10/2021,BA.5.3,0
30/10/2021,A,0
30/10/2021,B,0
30/10/2021,B.1.1.7,0
30/10/2021,B.1.617.2,26523
30/10/2021,B.1.1.529,0
30/10/2021,BA.2,0
30/10/2021,BA.4,0
30/10/2021,BA.5,0
30/10/2021,BA.1,2
30/10/2021,BA.2.75,0
